ID,Category,Title,Size_KB,Type,Status,Primary_Tags,Key_Dependencies,Primary_Use,Phase
ODE-DOC-A1-001,Strategic & Governance,OMNI-PERFORMATIVE-ENGINE_PROJECT-INDEX.md,31,Index / Navigation,Published,#index #overview #navigation #strategic,All project files,Primary entry point for new collaborators,Ongoing
ODE-DOC-A1-002,Strategic & Governance,OMNI-PERFORMATIVE_ENGINE__COMPLETE_PROJECT_INDEX_V2,53,Index / Navigation,Published,#index #v2 #comprehensive #meta-documentation,A1-001,Current definitive index for project structure,Ongoing
ODE-DOC-A1-003,Strategic & Governance,01_Executive_Summary.docx,3,Grant/Proposal Material,Published,#executive #summary #pitch #funding,A1-001 A1-002,Condensed overview for funding bodies,Funding Applications
ODE-DOC-A1-004,Strategic & Governance,__Omni-Performative_Engine__Immediate_Action_Guide,8.5,Operational / Implementation,Published,#action #roadmap #immediate #bootstrap,A1-001 A1-002,Daily reference for task prioritization,Bootstrap (Phase 0)
ODE-DOC-A2-001,Strategic & Governance,__MANIFESTO_DRAFT__THE_RECIPROCAL_PERFORMANCE_MOVEMENT,8.5,Manifesto / Positioning,Draft,#manifesto #philosophy #positioning #movement,Core concept,Foundation for press materials and artist recruitment,Ongoing
ODE-DOC-A2-002,Strategic & Governance,Finding_the_Word_for_Performances_Birth_and_Cathartic_Imperative.md,10,Etymology / Conceptual Research,Published,#etymology #nomenclature #greek #philosophy,A2-001,Philosophical grounding for terminology,Ongoing
ODE-DOC-A2-003,Strategic & Governance,The_Stage_That_Breathes__A_Performative_Cosmology_for_Reciprocal_Creation,6,Conceptual / Poetic Framework,Published,#cosmology #metaphor #speculative #performative,A2-001,Poetic articulation for artist recruitment,Artist Recruitment (Phase 1)
ODE-DOC-A2-004,Strategic & Governance,__The_Metaphysics_of_Flux__A_Unified_Framework_for_Perpetual_Transformation_,25,Philosophical Framework,Published,#metaphysics #flux #transformation #unified-theory,B2-001,Intellectual foundation for conference papers,Academic Positioning
ODE-DOC-A3-001,Strategic & Governance,Grant_Funding_Landscape_for_AI-Augmented_Interactive_Performance__Strategic_Analysis_and_Timeline.md,14,Funding Research / Strategy,Published,#funding #grants #timeline #strategy #research,Core research,Primary reference for grant application scheduling,Funding Applications (Phase 3)
ODE-DOC-A3-002,Strategic & Governance,Grant_Application_Strategy__Clarifying_Questions__Answers____Synthesis,4.5,Strategic Planning,Published,#strategy #synthesis #grant-planning #positioning,A3-001,Quick reference for pitch crafting,Funding Applications (Phase 3)
ODE-DOC-A3-003,Strategic & Governance,02_Partnership_Brief.docx,4,Grant/Proposal Material,Published,#partnership #brief #stakeholder #funding,A3-001,Institutional partner and fiscal sponsor outreach,Funding Applications (Phase 3)
ODE-DOC-A3-004,Strategic & Governance,03_Grant_Narrative.docx,6,Grant/Proposal Material,Published,#narrative #grant #proposal #story,A1-001 A2-001 A3-001,Foundation for grant narratives,Funding Applications (Phase 3)
ODE-DOC-A3-005,Strategic & Governance,04_Proposal_Dossier.docx,13,Grant/Proposal Material,Published,#dossier #comprehensive #proposal #materials,A1-003 A3-003 A3-004,Complete application package for major funding,Funding Applications (Phase 3)
ODE-DOC-A3-006,Strategic & Governance,05_Press_Announcement.docx,4.5,Press/Communications,Published,#press #announcement #communication #media,A3-001 A3-005,Community announcement and press kit,Communications (All Phases)
ODE-DOC-B1-001,Technical Specifications,__Proof-of-Concept_Code_Architecture,24,Technical Specification,Published,#architecture #code #poc #technical #implementation,B1-002 B1-003,Reference for production implementation,Prototype Validation
ODE-DOC-B1-002,Technical Specifications,Auto-Rev-Epistemic-Engine__Full_Development_Specification_.md,70,Technical Specification / Meta-Documentation,Published,#specification #development #epistemic #comprehensive #meta,All C1-* B1-001,Complete system specification for development teams,Implementation (Phase 4)
ODE-DOC-B1-003,Technical Specifications,omni-dromenon-engine-implementation.md,32,Technical Implementation Guide,Published,#implementation #guide #practical #technical,B1-001 B1-002,Daily development reference,Implementation (Phase 4)
ODE-DOC-B1-004,Technical Specifications,topology_infrastructure_for__core-engine_,14,Technical Specification,Published,#topology #infrastructure #deployment #systems,B1-001 B1-003,Venue deployment configuration template,Implementation (Phase 4)
ODE-DOC-B1-005,Technical Specifications,Drive_Analysis___Integration_Framework,11,Technical Analysis,Published,#integration #analysis #architecture #framework,B1-001 B1-003,Data architecture and API design,Implementation (Phase 4)
ODE-DOC-B2-001,Technical Specifications,Constrained_Variation__A_Unified_Design_Framework_for_Living_Interactive_Performance_Systems,20,Algorithm / Design Framework,Published,#algorithm #design #variation #constraint #mathematical,B1-001,Foundation for generative system design,Implementation (Phase 4)
ODE-DOC-B2-002,Technical Specifications,__Technical_White_Paper_Structure,9,Academic / Technical Writing,Draft,#whitepaper #academic #technical #structured,B1-001 B2-001 A2-002,Template for academic publication,Academic Positioning
ODE-DOC-C1-001,Research & Precedent,Precedents_for_the_Omni-Performative_Engine__Audience-Controlled_Adaptive_Performance_Systems.md,16,Precedent Research,Published,#precedents #research #artistic #history,All A2-* B2-*,Intellectual grounding for grant applications,All Phases
ODE-DOC-C1-002,Research & Precedent,Björk_s_interactive_legacy_and_the_next_frontier_of_audience-as-agent_performance_,19,Case Study / Artist Research,Published,#case-study #bjork #interactive #legacy,C1-001 A2-001,Conceptual reference and artist collaboration model,Artist Recruitment (Phase 1)
ODE-DOC-C1-003,Research & Precedent,Brian_Eno__Technical_Methodologies_for_Process-Based_Generative_Systems,19,Case Study / Technical Research,Published,#case-study #eno #generative #music #methodology,C1-001 B2-001,Technical reference for generative systems,Implementation (Phase 4)
ODE-DOC-C1-004,Research & Precedent,Arca_s_philosophy_of_sonic_movement_and_modulation,4.5,Case Study / Artist Philosophy,Published,#case-study #arca #sonic #philosophy #modulation,C1-001 A2-004,Artist collaboration reference,Artist Recruitment (Phase 1)
ODE-DOC-C1-005,Research & Precedent,Autechre_s_Generative_Systems__Technical_Approaches_to_Algorithmic_Composition_,17,Case Study / Technical Research,Published,#case-study #autechre #algorithmic #composition #technical,C1-001 B2-001,Technical and artistic precedent,Implementation (Phase 4)
ODE-DOC-C1-006,Research & Precedent,Nothing_Forever__The_AI_Sitcom_That_Broke_Twitch.md,19,Case Study / Contemporary AI Art,Published,#case-study #ai-art #nothing-forever #twitch #precedent,C1-001 A3-001,Cautionary case study for governance,Funding Applications (Phase 3)
ODE-DOC-C1-007,Research & Precedent,Transparent_Structure_as_Critical_Method__From_Parody_Law_to_Procedural_Sitcoms.md,15,Theoretical Analysis,Published,#theory #structure #transparency #methodology #critical,A2-001 A2-003 B2-001,Intellectual foundation for performer override,Academic Positioning
ODE-DOC-C2-001,Research & Precedent,Generative_and_Algorithmic_Art__A_Comprehensive_Landscape_Map,35,Field Research / Landscape Analysis,Published,#landscape #research #generative-art #comprehensive #field,Core research,Community research and collaboration identification,Research (All Phases)
ODE-DOC-C2-002,Research & Precedent,Beyond_the_smartphone__audience_interaction_technologies_for_interactive_performance,20,Technology Research,Published,#technology #interaction #mobile #performance #research,B1-001 B1-003,Technical research for prototype expansion,Implementation (Phase 4+)
ODE-DOC-C3-001,Research & Precedent,Bootstrap-to-Scale_Infrastructure__How_Artists_Build_Institutions_Without_Selling_Out.md,18,Strategic Research / Case Studies,Published,#infrastructure #bootstrap #community #strategy #case-study,A3-001 A3-002 C3-002,Strategic planning for sustainability,All Phases
ODE-DOC-C3-002,Research & Precedent,Building_community_infrastructure_for_OmDromMach_at_zero_budget,19,Operational / Strategic Planning,Published,#community #infrastructure #zero-budget #bootstrap #operational,C3-001 A1-004,Community infrastructure setup guide,Community Scaling (Phase 2)
ODE-DOC-C3-003,Research & Precedent,Multi-platform_streaming_architecture_for_mature_artistic_content,20,Technical / Operational Planning,Published,#streaming #platform #architecture #technical,B1-003 C1-006,Technical reference for livestreaming,Implementation (Phase 4)
ODE-DOC-D1-001,Content & Resources,Prospecting-letters-for-diverse-artists-and-new-works.md,45,Recruitment / Outreach Materials,Published,#recruitment #prospecting #letters #outreach,A2-001 C1-*,Direct recruitment outreach,Artist Recruitment (Phase 1)
ODE-DOC-D1-002,Content & Resources,Transforming-content-into-growth-opportunities.md,32,Strategy / Growth Planning,Published,#strategy #growth #content #outreach,A2-* D1-001,Content strategy reference,Community Scaling (Phase 2)
ODE-DOC-D2-001,Content & Resources,org-naming-simple-matrix.md,6.5,Organizational Planning,Published,#naming #organization #simple #matrix,D2-002,Quick reference for naming decision rationale,Organizational (Completed)
ODE-DOC-D2-002,Content & Resources,org-naming-alternatives-complete.md,21,Organizational Planning,Published,#naming #organization #alternatives #comprehensive,D2-001 D2-003,Reference for branding decisions,Organizational (Completed)
ODE-DOC-D2-003,Content & Resources,org-naming-voting-template.md,2.5,Organizational Process,Published,#naming #voting #process #template,D2-002,Community decision-making template,Organizational (Future Use)
ODE-DOC-D2-004,Content & Resources,org-naming-plain-text-version.txt,6.5,Organizational Planning,Published,#naming #plain-text #reference,D2-002,Accessible reference; email-compatible,Organizational (Completed)
ODE-DOC-D2-005,Content & Resources,org-structure-iterations.md,17,Organizational Planning,Published,#organization #structure #iterations #governance,C3-* C3-002,Governance model selection reference,Organizational (Phase 0)
ODE-DOC-D3-001,Content & Resources,The_Fusion_Engine_of_All_Media__Minds__and_Matter.md,996,Exploratory / Speculative,Published,#exploratory #fusion #speculative #massive #comprehensive,A2-004 B2-001,Conceptual inspiration,Conceptual Research (Archive)
ODE-DOC-D3-002,Content & Resources,Metaverse_Hub_App_Concept_Exploration.md,54,Exploratory / Product Design,Published,#metaverse #product #exploration #speculative #design,B1-* C2-001,Future product direction research,Conceptual Research (Archive)
ODE-DOC-D3-003,Content & Resources,ChatGPT-Cyberpoetry_Matrix_Cascade.md,316,Exploratory / Generative Art,Published,#generative #poetry #chatgpt #exploratory #speculative,Tangential,Inspirational source for generative writing,Conceptual Research (Archive)
ODE-DOC-D3-004,Content & Resources,Nexus_Bable-Alexandria.md,54,Exploratory / Speculative Design,Published,#speculative #design #knowledge #nexus #exploratory,Exploratory,Platform design inspiration,Conceptual Research (Archive)
ODE-DOC-D3-005,Content & Resources,universal-system-architecture.md,25,Theoretical Framework / Speculative,Published,#architecture #universal #system #framework #theory,A2-004 B2-001,Conceptual research and thought leadership,Conceptual Research
ODE-DOC-D3-006,Content & Resources,aether-canvas-the-universal-waveform-explorer.md,8,Product Concept / Speculative,Published,#product #concept #waveform #explorer #speculative,B1-*,UI/UX inspiration for performer dashboard,Conceptual Research
ODE-DOC-D3-007,Content & Resources,an-architectural-synthesis-a-modular-multi-agent.md,25,Technical / Architectural Synthesis,Published,#architecture #synthesis #modular #multi-agent,B1-*,Reference for multi-agent system design,Implementation (Phase 4+)
ODE-DOC-E1-001,Meta-Documentation,__Critique__The_Omni-Performative_Engine_Project_Documentation,23,Meta-Analysis / Critique,Published,#critique #meta #analysis #feedback,All prior documents,Self-awareness tool and peer review preparation,Grant Preparation
ODE-DOC-E1-002,Meta-Documentation,__Logic_Check__Omni-Performative_Engine_Documentation,23,Meta-Analysis / Logical Validation,Published,#logic #validation #reasoning #analysis,All prior documents,Argument validation and claim substantiation,Grant Preparation
ODE-DOC-E1-003,Meta-Documentation,__Logos_Review__Omni-Performative_Engine_Project_Documentation,37,Meta-Analysis / Rhetorical Analysis,Published,#logos #rhetoric #analysis #persuasion,E1-001 E1-002,Argument effectiveness assessment,Grant Preparation
ODE-DOC-E1-004,Meta-Documentation,__Ethos_Review__Omni-Performative_Engine_Project_Documentation,33,Meta-Analysis / Rhetorical Analysis,Published,#ethos #rhetoric #credibility #analysis,E1-001 E1-003,Credibility assessment and positioning strategy,Grant Preparation
ODE-DOC-E1-005,Meta-Documentation,__Pathos_Review__Omni-Performative_Engine_Documentation,26,Meta-Analysis / Rhetorical Analysis,Published,#pathos #rhetoric #emotion #analysis,E1-001 E1-003 E1-004,Values alignment and emotional resonance,Grant Preparation
ODE-DOC-E1-006,Meta-Documentation,__Blind_Spot_Analysis__Omni-Performative_Engine_Project_Documentation,47,Meta-Analysis / Gap Identification,Published,#blind-spots #gaps #analysis #risks,All prior documents,Risk assessment and assumption validation,Grant Preparation
ODE-DOC-E1-007,Meta-Documentation,__Shatter_Points_Analysis__Omni-Performative_Engine,31,Meta-Analysis / Risk Identification,Published,#risk #shatter-points #vulnerability #analysis,E1-006,Risk assessment and contingency development,Grant Preparation
ODE-DOC-E2-001,Meta-Documentation,__Evolution_Change_Log___Priority_Roadmap,27,Roadmap / Evolution Log,Published,#evolution #changelog #roadmap #development,Core documentation,Development history reference and continuity tracking,Ongoing
ODE-DOC-E2-002,Meta-Documentation,__Strategic_Roadmap__From_Theory_to_Implementation,12,Strategic Planning / Roadmap,Published,#strategic #roadmap #planning #phases,A1-004 E2-001,Development planning and grant timeline,All Phases
ODE-DOC-E2-003,Meta-Documentation,__STRATEGIC_REFRAME__BOOTSTRAP_PROTOCOL,9,Strategic Planning / Bootstrap Protocol,Published,#bootstrap #protocol #strategic #phases,A1-004 E2-002,Daily reference for action sequencing,Bootstrap (Phase 0)
ODE-DOC-E3-001,Meta-Documentation,__The_Omni-Performative_Engine__An_Evolved_Framework_____From_Vision_to_Validated_Research_System,38,Synthesis / Strategic Positioning,Published,#synthesis #framework #positioning #strategic,All prior documents,Comprehensive positioning reference,All Phases
ODE-DOC-E3-002,Meta-Documentation,____Multi-AI_Orchestration__Omni-Performative_Engine__,44,Technical Synthesis / Multi-Agent Strategy,Published,#multi-ai #orchestration #agents #synthesis,B1-* B2-*,Development methodology reference,Implementation (Phase 4+)
ODE-DOC-E3-003,Meta-Documentation,the-archive-trace.md,14,Meta-Documentation / Archival Practice,Published,#archive #trace #meta #preservation,Core documentation,Knowledge management reference,Ongoing
ODE-DOC-E3-004,Meta-Documentation,the-brutalist-ziggurat-of-truth.md,8,Poetic / Conceptual Essay,Published,#poetic #conceptual #philosophy #metaphor,Tangential,Conceptual inspiration,Conceptual Research (Archive)
ODE-DOC-E3-005,Meta-Documentation,No_More_Dark__CREATING_The_Damn_Thing_in_Public_,19,Manifesto / Strategic Direction,Published,#manifesto #public #creation #transparent,A2-001 D1-002,Communication strategy and engagement framework,All Phases
ODE-DOC-E3-006,Meta-Documentation,The_Omni-Performative_Engine,5,Directory / Subdocument,Published,#directory #organization #structure,B1-* B2-*,Internal organizational reference,Organizational
ODE-DOC-E3-007,Meta-Documentation,ARCHIVAL-DOCUMENT,5,Archive / Historical Record,Published,#archive #historical #record,Tangential,Historical research and continuity,Archive
ODE-DOC-E3-008,Meta-Documentation,What_else_is_like_this___Clarifying_questions__answers__synthesis,2.5,Research / Synthesis,Published,#research #synthesis #clarification,C1-* A2-*,Positioning clarity and differentiation,Grant Preparation
ODE-DOC-E3-009,Meta-Documentation,12-week-launch-plan.md,19,Operational Planning / Timeline,Published,#launch-plan #timeline #operational #12-week,A1-004 E2-002 E2-003,Daily development reference and sprint planning,Bootstrap (Phase 0)
ODE-DOC-E3-010,Meta-Documentation,local_scaffolding_status,3.5,Operational / Status Report,Published,#status #scaffolding #operational,Core operations,Development team synchronization,Bootstrap (Phase 0)
